,Ticker,Total Profit,Profit Percentage
0,000020,9798330.3,-2.02
1,000040,12655100.71,26.55
2,000050,10987736.64,9.88
3,000060,20428831.35,104.29
4,000070,12126803.35,21.27
5,000075,13946916.78,39.47
6,000080,11351951.31,13.52
7,000087,10758721.03,7.59
8,000100,9189131.44,-8.11
9,000105,9724149.33,-2.76
10,000120,10268254.47,2.68
11,000140,8623031.0,-13.77
12,000145,13372413.31,33.72
13,000150,14276706.07,42.77
14,000155,13358197.45,33.58
15,000157,13285988.91,32.86
16,000180,13843252.14,38.43
17,000210,10861463.65,8.61
18,000215,10986450.11,9.86
19,000220,8478007.46,-15.22
20,000225,8592741.7,-14.07
21,000227,12582037.42,25.82
22,000230,13035710.87,30.36
23,000240,15541947.31,55.42
24,000270,10724129.82,7.24
25,000300,20393647.89,103.94
26,000320,14482415.71,44.82
27,000325,44657174.87,346.57
28,000370,11402718.73,14.03
29,000390,9899560.8,-1.0
30,000400,10259710.87,2.6
31,000430,13110421.41,31.1
32,000480,10675069.4,6.75
33,000490,13917156.42,39.17
34,000500,14665403.23,46.65
35,000520,9198802.07,-8.01
36,000540,12460751.25,24.61
37,000545,8460625.84,-15.39
38,000547,11014907.23,10.15
39,000590,9500040.08,-5.0
40,000640,12005747.27,20.06
41,000650,10548411.39,5.48
42,000660,10329361.05,3.29
43,000670,13373455.99,33.73
44,000680,11176527.49,11.77
45,000700,12997155.11,29.97
46,000720,12712943.27,27.13
47,000725,8904412.71,-10.96
48,000760,11098536.04,10.99
49,000810,11417232.89,14.17
