,Ticker,Total Profit,Profit Percentage
0,000020,9432932.84,-5.67
1,000040,12922103.1,29.22
2,000050,12205675.08,22.06
3,000060,23999933.2,140.0
4,000070,13158342.78,31.58
5,000075,14780382.59,47.8
6,000080,11117694.83,11.18
7,000087,10139034.47,1.39
8,000100,8518477.37,-14.82
9,000105,11838595.81,18.39
10,000120,11376079.7,13.76
11,000140,9175638.29,-8.24
12,000145,14158509.68,41.59
13,000150,13788254.4,37.88
14,000155,14006514.14,40.07
15,000157,13234327.72,32.34
16,000180,13491793.13,34.92
17,000210,11640274.58,16.4
18,000215,12609198.04,26.09
19,000220,8233838.29,-17.66
20,000225,10703186.38,7.03
21,000227,14057368.36,40.57
22,000230,10828713.42,8.29
23,000240,14342180.16,43.42
24,000270,10676785.25,6.77
25,000300,20606548.3,106.07
26,000320,14082119.58,40.82
27,000325,43158320.24,331.58
28,000370,15154463.15,51.54
29,000390,10385651.66,3.86
30,000400,9749969.87,-2.5
31,000430,12932412.32,29.32
32,000480,10623407.7,6.23
33,000490,15710910.46,57.11
34,000500,15069196.07,50.69
35,000520,8842468.28,-11.58
36,000540,12287341.29,22.87
37,000545,9633378.94,-3.67
38,000547,8857962.62,-11.42
39,000590,12298341.04,22.98
40,000640,12716045.29,27.16
41,000650,8887833.02,-11.12
42,000660,10281848.56,2.82
43,000670,13672793.41,36.73
44,000680,12851460.57,28.51
45,000700,14018431.75,40.18
46,000720,15110868.38,51.11
47,000725,8768069.23,-12.32
48,000760,10316822.88,3.17
49,000810,11232831.4,12.33
