,Ticker,Number of Transactions
0,000020,3
1,000040,7
2,000050,4
3,000060,8
4,000070,7
5,000075,3
6,000080,4
7,000087,4
8,000100,5
9,000105,4
10,000120,5
11,000140,3
12,000145,5
13,000150,4
14,000155,4
15,000157,4
16,000180,6
17,000210,4
18,000215,3
19,000220,3
20,000225,4
21,000227,7
22,000230,6
23,000240,4
24,000270,4
25,000300,6
26,000320,8
27,000325,3
28,000370,6
29,000390,5
30,000400,4
31,000430,5
32,000480,2
33,000490,6
34,000500,5
35,000520,6
36,000540,5
37,000545,2
38,000547,2
39,000590,6
40,000640,5
41,000650,4
42,000660,5
43,000670,7
44,000680,6
45,000700,5
46,000720,6
47,000725,2
48,000760,4
49,000810,4
